id,doi,all_urls,coi_check,coi_check_oi,funding_check,funding_check_oi,open_practices,causal_claims,power,all_p_values,marginal,stat_check,stat_effect_size,stat_p_exact,stat_p_nonsig,ref_pubpeer,ref_replication,ref_retraction,ref_summary,all_urls.time,coi_check.time,coi_check_oi.time,funding_check.time,funding_check_oi.time,open_practices.time,causal_claims.time,power.time,all_p_values.time,marginal.time,stat_check.time,stat_effect_size.time,stat_p_exact.time,stat_p_nonsig.time,ref_pubpeer.time,ref_replication.time,ref_retraction.time,ref_summary.time
0956797621995197,10.1177/0956797621995197,info,green,green,red,red,yellow,yellow,na,info,green,red,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797621995202,10.1177/0956797621995202,info,green,green,green,green,green,green,yellow,info,red,red,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797621996660,10.1177/0956797621996660,info,green,green,green,green,green,yellow,yellow,info,green,red,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797621996667,10.1177/0956797621996667,info,green,green,red,red,yellow,yellow,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797621997350,10.1177/0956797621997350,info,green,green,green,green,green,yellow,na,info,green,na,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797621997366,10.1177/0956797621997366,info,green,green,green,green,green,yellow,yellow,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797621998312,10.1177/0956797621998312,info,green,green,green,green,green,green,na,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221079633,10.1177/09567976221079633,info,green,green,green,green,red,yellow,na,info,green,green,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976221082637,10.1177/09567976221082637,info,green,green,green,green,green,yellow,yellow,info,green,na,na,green,green,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976221082938,10.1177/09567976221082938,info,green,green,green,green,yellow,yellow,na,info,red,na,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221082941,10.1177/09567976221082941,info,green,green,green,green,green,green,yellow,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221083219,10.1177/09567976221083219,info,green,green,red,green,green,green,yellow,info,green,green,red,red,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976221086513,10.1177/09567976221086513,info,green,green,green,green,green,green,na,info,red,red,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221089599,10.1177/09567976221089599,info,green,green,green,green,yellow,green,na,info,green,red,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976221094036,10.1177/09567976221094036,info,green,green,green,green,green,yellow,na,info,green,green,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976221094782,10.1177/09567976221094782,info,green,green,green,green,green,green,yellow,info,green,na,na,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
09567976221101045,10.1177/09567976221101045,info,green,green,green,green,yellow,yellow,na,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221114055,10.1177/09567976221114055,info,green,green,green,green,yellow,green,yellow,info,green,green,red,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976221116816,10.1177/09567976221116816,info,green,green,green,green,red,green,yellow,info,green,na,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221116892,10.1177/09567976221116892,info,green,green,red,red,green,yellow,yellow,info,green,na,na,green,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976221116893,10.1177/09567976221116893,info,green,green,green,red,green,green,yellow,info,green,na,na,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
09567976221119391,10.1177/09567976221119391,info,green,green,green,green,green,yellow,yellow,info,green,green,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976221121348,10.1177/09567976221121348,info,green,green,green,green,yellow,green,yellow,info,green,green,na,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
09567976221131519,10.1177/09567976221131519,info,green,green,green,green,green,yellow,yellow,info,green,green,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976221131520,10.1177/09567976221131520,info,green,green,green,green,yellow,green,yellow,info,green,green,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976221134476,10.1177/09567976221134476,info,green,green,green,green,green,yellow,yellow,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221139496,10.1177/09567976221139496,info,red,red,red,red,red,yellow,na,info,green,green,red,red,yellow,na,na,na,na,,,,,,,,,,,,,,,,,,
09567976221140326,10.1177/09567976221140326,info,green,green,green,green,red,yellow,yellow,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221140341,10.1177/09567976221140341,info,green,green,green,green,yellow,yellow,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221145316,10.1177/09567976221145316,info,green,green,green,green,green,yellow,na,info,green,na,na,red,green,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976221147258,10.1177/09567976221147258,info,green,green,red,green,green,yellow,yellow,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221147259,10.1177/09567976221147259,info,green,green,green,green,yellow,yellow,yellow,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976221150616,10.1177/09567976221150616,info,green,green,green,green,yellow,green,yellow,info,green,green,red,green,yellow,info,na,info,info,,,,,,,,,,,,,,,,,,
09567976231151581,10.1177/09567976231151581,info,green,green,green,green,red,yellow,yellow,info,green,red,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231154804,10.1177/09567976231154804,info,green,green,green,green,green,yellow,yellow,info,green,red,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231156413,10.1177/09567976231156413,info,green,green,green,green,green,yellow,yellow,info,green,green,na,red,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231156793,10.1177/09567976231156793,info,green,green,green,green,green,yellow,yellow,info,green,na,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231158288,10.1177/09567976231158288,info,green,green,red,green,green,green,yellow,info,green,green,na,red,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231158570,10.1177/09567976231158570,info,green,green,red,green,green,green,yellow,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231160098,10.1177/09567976231160098,info,green,green,green,green,red,green,yellow,info,green,green,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231160702,10.1177/09567976231160702,info,green,green,green,green,red,yellow,yellow,info,green,na,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231161565,10.1177/09567976231161565,info,green,green,green,green,yellow,green,na,info,green,na,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231164553,10.1177/09567976231164553,info,green,green,green,green,red,yellow,yellow,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231165267,10.1177/09567976231165267,info,green,green,green,green,green,yellow,yellow,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231170878,10.1177/09567976231170878,info,green,green,green,green,yellow,yellow,yellow,info,green,green,na,red,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231172500,10.1177/09567976231172500,info,green,green,green,green,red,green,yellow,info,red,green,na,green,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
09567976231173900,10.1177/09567976231173900,info,green,green,green,green,yellow,green,yellow,info,red,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231173902,10.1177/09567976231173902,info,green,green,green,green,green,yellow,yellow,info,green,na,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231177968,10.1177/09567976231177968,info,green,green,green,green,green,yellow,yellow,info,green,red,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231179378,10.1177/09567976231179378,info,green,green,green,green,green,green,na,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231180578,10.1177/09567976231180578,info,green,green,green,green,green,green,yellow,info,green,red,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231180588,10.1177/09567976231180588,info,green,green,green,green,green,yellow,na,info,green,na,na,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231180881,10.1177/09567976231180881,info,green,green,green,green,yellow,green,na,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231184887,10.1177/09567976231184887,info,green,green,red,red,green,green,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231185127,10.1177/09567976231185127,info,green,green,green,green,yellow,yellow,yellow,info,green,na,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231185129,10.1177/09567976231185129,info,green,green,red,red,red,yellow,yellow,info,green,na,red,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231188107,10.1177/09567976231188107,info,green,green,green,green,green,green,yellow,info,green,red,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231188124,10.1177/09567976231188124,na,red,red,red,red,na,green,na,na,green,na,na,na,green,na,na,na,na,,,,,,,,,,,,,,,,,,
09567976231190546,10.1177/09567976231190546,info,green,green,red,red,yellow,yellow,na,info,green,green,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231192241,10.1177/09567976231192241,info,green,green,green,green,green,green,yellow,info,green,red,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231194221,10.1177/09567976231194221,na,red,red,green,green,red,green,na,info,green,green,red,green,yellow,info,na,info,info,,,,,,,,,,,,,,,,,,
09567976231194590,10.1177/09567976231194590,info,red,red,green,green,yellow,green,yellow,info,green,green,na,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
09567976231196145,10.1177/09567976231196145,info,green,green,green,green,green,yellow,na,info,green,na,na,red,green,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231198194,10.1177/09567976231198194,info,green,green,green,green,yellow,yellow,yellow,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
09567976231198435,10.1177/09567976231198435,info,green,green,red,red,green,green,na,info,red,red,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
